date,account_value
2022-06-01,100000.0
2022-06-02,100807.45700441742
2022-06-03,98441.61772470856
2022-06-06,98791.85834818268
2022-06-07,99786.17271356964
2022-06-08,98805.07100611115
2022-06-09,96402.69464426422
2022-06-10,92838.47223215485
2022-06-13,89379.92627649689
2022-06-14,90407.48898951149
2022-06-15,91853.78250567055
2022-06-16,88899.94918886757
2022-06-17,89481.48260943031
2022-06-21,92322.63914743996
2022-06-22,91872.35409037209
2022-06-23,93074.79421106911
2022-06-24,95719.74827066994
2022-06-27,95318.76067225075
2022-06-28,92447.2082220707
2022-06-29,93375.06770960426
2022-06-30,92314.66020838356
2022-07-01,92762.89049784279
2022-07-05,94798.34761110878
2022-07-06,95711.31484285927
2022-07-07,97482.57215181923
2022-07-08,97500.12528864479
2022-07-11,96213.92435709572
2022-07-12,95124.6529623661
2022-07-13,95180.92219606972
2022-07-14,96563.36289278603
2022-07-15,97388.2810408268
2022-07-18,96519.00051752663
2022-07-19,98740.44492594337
2022-07-20,100144.41477266884
2022-07-21,100786.05973497963
2022-07-22,99529.58222262001
2022-07-25,98757.25277773476
2022-07-26,96454.42904154396
2022-07-27,100494.4466292057
2022-07-28,101831.0022932682
2022-07-29,103434.5367514286
2022-08-01,103165.72755495644
2022-08-02,102135.65767351723
2022-08-03,104636.4509588871
2022-08-04,104436.07115618324
2022-08-05,103870.08486620522
2022-08-08,103011.948162714
2022-08-09,102820.31105486488
2022-08-10,104852.17778078651
2022-08-11,104415.54998461342
2022-08-12,106369.2913519535
2022-08-15,107020.5426069889
2022-08-16,107112.5992514286
2022-08-17,106801.52777544594
2022-08-18,106877.76688067055
2022-08-19,105280.64750734901
2022-08-22,102831.39081255531
2022-08-23,102718.22812334633
2022-08-24,102669.54577318764
2022-08-25,102385.98645845985
2022-08-26,97652.58917681313
2022-08-29,96416.23864809608
2022-08-30,95607.03922525978
2022-08-31,94781.65474955177
2022-09-01,94592.49631182289
2022-09-02,93395.01190058327
2022-09-06,92831.48913065529
2022-09-07,94508.42990938759
2022-09-08,94363.53930727577
2022-09-09,96252.0674521122
2022-09-12,98022.3474508915
2022-09-13,92411.23959223366
2022-09-14,92859.30925051308
2022-09-15,91213.51958338356
2022-09-16,91433.28897730446
2022-09-19,92526.62991587257
2022-09-20,92490.74759165382
2022-09-21,91274.00972811317
2022-09-22,90593.26054445839
2022-09-23,89867.69741121864
2022-09-26,89444.33018938637
