date,account_value
2021-07-01,100000.0
2021-07-02,101227.7683330307
2021-07-06,102199.16155583954
2021-07-07,103136.8182826767
2021-07-08,102376.4545741806
2021-07-09,103714.92448384858
2021-07-12,102957.0621524582
2021-07-13,103136.7980457077
2021-07-14,103211.50391728974
2021-07-15,103123.04325444794
2021-07-16,104393.9778781662
2021-07-19,104130.63620717621
2021-07-20,104934.0275569687
2021-07-21,104857.2096057663
2021-07-22,106399.53684957123
2021-07-23,108210.09052236176
2021-07-26,107318.59433324433
2021-07-27,107250.25529058075
2021-07-28,107685.11252553559
2021-07-29,107717.01705129242
2021-07-30,105622.5558658371
2021-08-02,105466.30005223847
2021-08-03,107870.03156240082
2021-08-04,107733.5254550705
2021-08-05,108420.16218907929
2021-08-06,106257.26310689545
2021-08-09,106078.26214940644
2021-08-10,104717.37079198456
2021-08-11,104131.78311116791
2021-08-12,104900.98864705658
2021-08-13,104364.63094289399
2021-08-16,105320.56561238861
2021-08-17,105324.27539022065
2021-08-18,105146.23642308808
2021-08-19,105831.71285970307
2021-08-20,106139.45307118988
2021-08-23,104802.08148915863
2021-08-24,104746.15496404267
2021-08-25,105609.25360066986
2021-08-26,104882.71599919892
2021-08-27,103856.18633992768
2021-08-30,106021.21061284638
2021-08-31,104544.48839528656
2021-09-01,104763.62456090546
2021-09-02,104768.04199178315
2021-09-03,105422.33671910859
2021-09-07,104495.5091396103
2021-09-08,105768.97925908661
2021-09-09,104699.04053838349
2021-09-10,105215.4390979538
2021-09-13,102253.5014644394
2021-09-14,103101.4962878952
2021-09-15,103755.36391790009
2021-09-16,104305.50111348725
2021-09-17,103658.91051824189
2021-09-20,103440.2490916977
2021-09-21,104655.35420949555
2021-09-22,105926.83143193818
2021-09-23,107413.912028862
2021-09-24,107067.13877065277
2021-09-27,103991.05430944062
2021-09-28,101015.87467916108
2021-09-29,102093.44524724579
2021-09-30,100399.58068807221
2021-10-01,100188.62754781342
2021-10-04,98823.4569545517
2021-10-05,99469.82647664643
2021-10-06,100042.07303960419
2021-10-07,100565.2337375412
2021-10-08,99869.16019780732
2021-10-11,99133.09612615204
2021-10-12,99676.75811345673
2021-10-13,100616.45065648652
2021-10-14,102066.59052617646
2021-10-15,102846.4332462082
2021-10-18,103734.63532979584
2021-10-19,103998.96627385712
2021-10-20,104503.83692891693
2021-10-21,105971.307391716
2021-10-22,106654.6281238327
2021-10-25,106581.4237590561
2021-10-26,106341.2817302475
2021-10-27,104733.11363561249
2021-10-28,104375.24802739716
2021-10-29,105538.80688817597
2021-11-01,105414.96945149994
2021-11-02,101583.09736592865
2021-11-03,101444.30273778534
2021-11-04,103637.43863637543
2021-11-05,103644.49885900116
2021-11-08,103138.96052892304
2021-11-09,103158.11898763276
2021-11-10,102756.1524158249
2021-11-11,101837.3795352707
2021-11-12,103392.00030858612
2021-11-15,102518.71960408783
2021-11-16,104082.4416118393
2021-11-17,102876.46810491181
2021-11-18,103785.25668675995
2021-11-19,104502.2627521286
2021-11-22,103497.46452672577
2021-11-23,102718.58737523652
2021-11-24,102665.42091710663
2021-11-26,100498.38717992402
2021-11-29,103400.11076314545
2021-11-30,100695.27062184906
2021-12-01,99741.42087514496
2021-12-02,100980.55786092377
2021-12-03,99849.76339299775
2021-12-06,100559.19276006318
2021-12-07,103186.66114766693
2021-12-08,104017.2566257248
2021-12-09,102749.67140157318
2021-12-10,103431.08216054535
2021-12-13,102517.08605535126
2021-12-14,101343.15215261078
2021-12-15,104100.08611257172
2021-12-16,103716.64609487152
2021-12-17,103941.67184026337
2021-12-20,102447.13835103608
2021-12-21,104572.7779613266
2021-12-22,106591.91865117646
2021-12-23,106965.67627675629
2021-12-27,108756.42506368256
2021-12-28,108677.38933904267
2021-12-29,109818.98922307587
2021-12-30,109987.93633611298
2021-12-31,109980.05083425141
2022-01-03,106595.7414241562
2022-01-04,104222.65262181855
2022-01-05,101187.42434270478
2022-01-06,101404.16122014618
2022-01-07,97682.8651500473
2022-01-10,98073.41899831391
2022-01-11,98123.28612477875
2022-01-12,98205.89034612275
2022-01-13,96423.49173696137
2022-01-14,95395.94238240815
2022-01-18,93449.4757915268
2022-01-19,93170.56969792939
2022-01-20,91655.30149800873
2022-01-21,89981.12596852875
2022-01-24,92307.8573451767
2022-01-25,88254.25492436982
2022-01-26,86117.18563802338
2022-01-27,86813.57649571991
2022-01-28,89159.6352573166
2022-01-31,91497.65566594696
2022-02-01,92445.2298389206
2022-02-02,95479.49882085419
2022-02-03,95211.04365880585
2022-02-04,93084.40014608002
2022-02-07,91450.54291875458
2022-02-08,92030.23330648041
2022-02-09,93240.29797704316
2022-02-10,93805.99863393402
2022-02-11,93298.23015172577
2022-02-14,91897.97164876557
2022-02-15,93281.09881932831
2022-02-16,93223.17073781586
2022-02-17,91540.17037160492
2022-02-18,91280.40094716645
2022-02-22,89665.70295293427
2022-02-23,86996.63610036469
2022-02-24,90828.49312551117
2022-02-25,93199.29742391205
2022-02-28,93853.44789846039
2022-03-01,94579.27036244965
2022-03-02,96265.97322805024
2022-03-03,96636.8185649643
