date,account_value
2021-07-01,100000.0
2021-07-02,100408.03671964217
2021-07-06,99719.54147990752
2021-07-07,100528.31498082686
2021-07-08,101805.71681054641
2021-07-09,100985.59243234206
2021-07-12,99827.16414197494
2021-07-13,100297.24188502837
2021-07-14,100475.28533586074
2021-07-15,98317.54964717437
2021-07-16,97813.3262341838
2021-07-19,96985.40875991393
2021-07-20,97661.83676036407
2021-07-21,97799.94780190993
2021-07-22,98485.11828788329
2021-07-23,99626.65898068954
2021-07-26,99798.94920571853
2021-07-27,99570.91879256774
2021-07-28,99692.85275443603
2021-07-29,99325.06873830367
2021-07-30,99250.84389337111
2021-08-02,99591.52729543258
2021-08-03,100710.80438502837
2021-08-04,99263.93998654891
2021-08-05,99735.94502481032
2021-08-06,100326.87823375274
2021-08-09,99992.02268441726
2021-08-10,98816.74610169936
2021-08-11,99137.73652251769
2021-08-12,99225.96865399886
2021-08-13,99500.80837567855
2021-08-16,100017.09514268447
2021-08-17,100023.4472869258
2021-08-18,98306.84064849425
2021-08-19,98255.02029021789
2021-08-20,98854.64180310775
2021-08-23,99970.07619365264
2021-08-24,100290.90493424941
2021-08-25,99139.04867204238
2021-08-26,98630.861665092
2021-08-27,99243.31437142898
2021-08-30,99616.87970622588
2021-08-31,99136.9089725833
2021-09-01,99314.56603654433
2021-09-02,99127.87528832961
2021-09-03,98966.45540364791
2021-09-07,97941.93134339858
2021-09-08,97535.69235166122
2021-09-09,94782.60493882705
2021-09-10,94678.88637002517
2021-09-13,94461.53860028792
2021-09-14,94001.06484540511
2021-09-15,94885.98816665221
2021-09-16,95094.65712388564
2021-09-17,94308.20892413665
2021-09-20,92782.2057975154
2021-09-21,92138.11546882201
2021-09-22,91833.40092690993
2021-09-23,92704.54755385924
2021-09-24,92428.21539720107
2021-09-27,91252.67377980758
2021-09-28,89624.29879506637
2021-09-29,89703.06405385543
2021-09-30,89131.3626378398
2021-10-01,89849.10231622268
2021-10-04,88012.0548613887
2021-10-05,88956.1459396701
2021-10-06,89439.10726531554
2021-10-07,90152.86377271224
2021-10-08,89581.19971116591
2021-10-11,89073.22768529464
2021-10-12,88481.30951674987
2021-10-13,88648.80555947829
2021-10-14,90210.12050946761
2021-10-15,89853.05326398421
2021-10-18,88430.34469159652
2021-10-19,89047.0140794139
2021-10-20,89129.01599248458
2021-10-21,89919.56260427047
2021-10-22,89294.37666734267
2021-10-25,90000.97983535338
2021-10-26,90548.46508344222
2021-10-27,88575.37792333175
2021-10-28,89573.48043902923
2021-10-29,90167.46742328216
2021-11-01,90740.81127055694
2021-11-02,91968.70370801497
2021-11-03,93259.10169871856
2021-11-04,95386.96485742141
2021-11-05,95185.05697949935
2021-11-08,94234.6101520877
2021-11-09,94067.55880006362
2021-11-10,92700.29421075393
2021-11-11,91867.45381721068
2021-11-12,92805.98630412627
2021-11-15,93061.5766256671
2021-11-16,92320.62813933898
2021-11-17,91856.91985686828
2021-11-18,91251.07988103438
2021-11-19,91841.07920678664
2021-11-22,90584.6859505992
2021-11-23,90369.26917871047
2021-11-24,89761.02432902862
2021-11-26,87856.212395988
2021-11-29,88792.26224645186
2021-11-30,87425.03835710097
2021-12-01,85672.5594580989
2021-12-02,87177.67528184463
2021-12-03,86022.04752238799
2021-12-06,87695.17805608323
2021-12-07,89322.96375354339
2021-12-08,90476.65570720244
2021-12-09,89139.34044965316
2021-12-10,89504.7269967418
2021-12-13,90330.39697440673
2021-12-14,89283.4341090541
2021-12-15,91454.61894591857
2021-12-16,91114.62128289748
2021-12-17,91180.3150518756
2021-12-20,89884.56594928313
2021-12-21,90828.4983247142
2021-12-22,91324.39885314513
2021-12-23,91945.72130616714
2021-12-27,92756.51280292083
2021-12-28,92865.20825513412
2021-12-29,95121.44023688842
2021-12-30,93013.51709111739
2021-12-31,92504.12182696868
2022-01-03,92626.11004193831
2022-01-04,92212.20894750167
2022-01-05,90230.82190354873
2022-01-06,89242.49659570266
2022-01-07,88207.88498767425
2022-01-10,88748.11149486114
2022-01-11,90317.42283757735
2022-01-12,88653.49237855483
2022-01-13,88074.43072064925
2022-01-14,88004.75383361388
2022-01-18,85972.94747384597
2022-01-19,85388.45898088027
2022-01-20,84280.04457696486
2022-01-21,82853.30790170241
2022-01-24,84193.26201613952
2022-01-25,82462.0960529666
2022-01-26,81446.87026151229
2022-01-27,80604.97535642196
2022-01-28,83157.86948998977
2022-01-31,84769.87435468246
2022-02-01,84991.97603925277
2022-02-02,84722.4448550563
