date,account_value
2021-01-04,100000.0
2021-01-05,100924.67223972274
2021-01-06,101338.2584180255
2021-01-07,102905.61287063552
2021-01-08,103051.31066793395
2021-01-11,101924.33552354766
2021-01-12,99882.97854465438
2021-01-13,100624.12922996475
2021-01-14,101175.25877613021
2021-01-15,100933.74895185424
2021-01-19,102091.62880510284
2021-01-20,104130.38292831375
2021-01-21,104023.12990611984
2021-01-22,101803.5805038829
2021-01-25,103433.77885431243
2021-01-26,104136.91677278472
2021-01-27,104300.6336116214
2021-01-28,105753.7834710498
2021-01-29,103176.07478040649
2021-02-01,104971.93577283813
2021-02-02,105796.56179422332
2021-02-03,103421.28231853439
2021-02-04,105075.89820951415
2021-02-05,105730.87154764129
2021-02-08,108062.50595087005
2021-02-09,108279.67919773055
2021-02-10,108403.6107606311
2021-02-11,108616.79239982559
2021-02-12,114784.6920899768
2021-02-16,112954.74820369674
2021-02-17,112859.63240474655
2021-02-18,111864.61383336975
2021-02-19,111434.06007808639
2021-02-22,109995.27420324279
2021-02-23,110248.45943540527
2021-02-24,111197.09100765182
2021-02-25,107842.62776225997
2021-02-26,106861.00030845596
2021-03-01,108474.47381872131
2021-03-02,107552.83417314483
2021-03-03,103777.2586798091
2021-03-04,101269.61879581405
2021-03-05,102070.55512756301
2021-03-08,100025.95104736282
2021-03-09,102348.15824073745
2021-03-10,103204.60587924912
2021-03-11,105172.53082937194
2021-03-12,104825.28510040237
2021-03-15,107063.50448268844
2021-03-16,106318.02385419799
2021-03-17,106663.63540023757
2021-03-18,104379.65535921052
2021-03-19,105115.01382154418
2021-03-22,106902.63445276214
2021-03-23,104553.46331447555
2021-03-24,103668.74758476211
2021-03-25,102990.1360859294
2021-03-26,104677.594146194
2021-03-29,103762.0431904216
2021-03-30,101380.06510204269
2021-03-31,103537.76220411254
2021-04-01,103974.35407537414
2021-04-05,105385.57985538436
2021-04-06,108443.60579532577
2021-04-07,106552.32092756225
2021-04-08,107277.80538171722
2021-04-09,107696.21564048721
2021-04-12,107316.32986253692
2021-04-13,108287.08726591064
2021-04-14,107475.87040227844
2021-04-15,108631.64509242965
2021-04-16,108817.54141992523
2021-04-19,109216.71607488586
2021-04-20,107972.78778833343
2021-04-21,111598.32131999923
2021-04-22,111002.68950504257
2021-04-23,112401.75195497466
2021-04-26,112376.10477012588
2021-04-27,111571.12291711761
2021-04-28,110902.56953138305
2021-04-29,110588.49181264831
2021-04-30,109684.47101777984
2021-05-03,109365.51182407333
2021-05-04,107705.39650386764
2021-05-05,106838.60177749587
2021-05-06,106847.0191048999
2021-05-07,108038.901161613
2021-05-10,106608.14800828887
2021-05-11,106603.76013988449
2021-05-12,103746.37218898727
2021-05-13,104702.41154378845
2021-05-14,106751.90832370712
2021-05-17,105576.69228404952
2021-05-18,106022.00447887374
2021-05-19,106005.17332834197
2021-05-20,107777.55438322021
2021-05-21,107785.57460302307
2021-05-24,108664.98930925323
2021-05-25,108689.42949766113
2021-05-26,108510.58836549713
2021-05-27,109790.86000722839
2021-05-28,109601.53994173004
2021-06-01,109649.78260034515
2021-06-02,109653.00699323608
2021-06-03,108527.71809619857
2021-06-04,110561.81560367538
2021-06-07,111640.78190654708
2021-06-08,112247.14371580078
2021-06-09,112143.01625961257
2021-06-10,114682.13507503463
2021-06-11,114993.74116748763
2021-06-14,115075.85915750457
2021-06-15,114905.01751274063
2021-06-16,113768.18090290023
2021-06-17,115124.55776256515
2021-06-18,114179.60192388488
2021-06-21,115842.4264187236
2021-06-22,116333.60214466049
2021-06-23,116575.55519098236
2021-06-24,116469.47549337341
2021-06-25,117499.48526710464
2021-06-28,117782.52232164337
2021-06-29,117579.96014636947
2021-06-30,117232.28205198242
2021-07-01,117260.03439849807
2021-07-02,118141.03446525527
2021-07-06,118259.4267358203
2021-07-07,118403.445210876
2021-07-08,117829.18267673446
2021-07-09,118908.87352985336
2021-07-12,119982.32747596694
2021-07-13,119505.07715314819
2021-07-14,117526.76907772018
2021-07-15,117807.5274629016
2021-07-16,117444.3697332759
2021-07-19,116422.99072069122
2021-07-20,119744.81037992431
2021-07-21,119265.81662219955
2021-07-22,120635.4687652011
2021-07-23,122002.91978782607
2021-07-26,121628.75226062728
2021-07-27,121513.02200883819
2021-07-28,121979.07650751068
2021-07-29,122660.63175338699
2021-07-30,123169.17804569198
2021-08-02,122690.47008651687
2021-08-03,123295.02292341186
2021-08-04,122917.0081972499
2021-08-05,125405.3863090892
2021-08-06,124410.38096708251
2021-08-09,125072.43102497054
2021-08-10,124141.9995121379
2021-08-11,123998.92415040924
2021-08-12,124388.01910346939
2021-08-13,125188.57206672622
2021-08-16,126455.70113796188
2021-08-17,126417.03177494003
2021-08-18,124990.64131349517
2021-08-19,121630.7213458438
2021-08-20,123035.24060768081
2021-08-23,122467.06702512695
2021-08-24,122831.97809261276
2021-08-25,123608.77049678756
2021-08-26,121466.25925964309
2021-08-27,121036.61243671371
2021-08-30,121044.76847166015
2021-08-31,121039.3573998828
2021-09-01,121925.5048107524
2021-09-02,123133.77961582138
2021-09-03,122485.95861953689
2021-09-07,121690.97573894454
2021-09-08,122292.15814537002
2021-09-09,121590.50240749313
2021-09-10,119580.7847465892
2021-09-13,119504.72117561294
2021-09-14,119449.82177680923
2021-09-15,120174.05312913848
2021-09-16,119771.41933864547
2021-09-17,119220.20881170226
2021-09-20,117014.11009448959
2021-09-21,116441.49977487518
2021-09-22,117259.87538379623
2021-09-23,118345.59164232208
2021-09-24,118495.86480373336
2021-09-27,116783.82936996414
2021-09-28,114017.7155851741
2021-09-29,114149.47390121414
2021-09-30,112941.22355026199
2021-10-01,113320.45036930038
2021-10-04,110396.51598209335
2021-10-05,112014.04383748962
2021-10-06,113149.85037416412
2021-10-07,114930.83399146987
2021-10-08,114263.73092311813
2021-10-11,112987.73247283889
2021-10-12,113102.62812608673
