date,account_value
2021-01-04,100000.0
2021-01-05,100321.03728810167
2021-01-06,99319.46546140719
2021-01-07,100880.88913923311
2021-01-08,102464.55816749812
2021-01-11,101256.22041522455
2021-01-12,100577.35944094326
2021-01-13,100912.36547024013
2021-01-14,100017.99879759265
2021-01-15,99212.46568702937
2021-01-19,99656.27537701656
2021-01-20,103917.07511658718
2021-01-21,103674.84928269435
2021-01-22,102490.8715414529
2021-01-25,101654.64172872783
2021-01-26,100911.3454488206
2021-01-27,97215.41017660381
2021-01-28,99450.46611150981
2021-01-29,98098.87641844036
2021-02-01,99900.23400625469
2021-02-02,101886.45778021099
2021-02-03,99673.01750692607
2021-02-04,101454.75262007
2021-02-05,102060.99296125652
2021-02-08,102113.39111646892
2021-02-09,103205.37238630535
2021-02-10,104155.87317976238
2021-02-11,104621.16550382854
2021-02-12,105697.63506635906
2021-02-16,105325.50273069621
2021-02-17,105007.48498472454
2021-02-18,105877.34640058757
2021-02-19,105382.5484364915
2021-02-22,103855.84885725261
2021-02-23,103450.06409010173
2021-02-24,102501.53032123233
2021-02-25,99674.93292056705
2021-02-26,99741.70898830082
2021-03-01,102205.4126225629
2021-03-02,101104.09501468326
2021-03-03,97659.98914539005
2021-03-04,95469.85920535709
2021-03-05,98023.02376589633
2021-03-08,96235.72737727023
2021-03-09,98399.86874804355
2021-03-10,98182.58349451877
2021-03-11,99935.5922454343
2021-03-12,99218.82709727145
2021-03-15,100684.7717059598
2021-03-16,100471.1959689603
2021-03-17,100550.75445208407
2021-03-18,97720.92211375094
2021-03-19,97962.51033434726
2021-03-22,99519.95541987277
2021-03-23,99513.0248626218
2021-03-24,97952.42892107822
2021-03-25,97154.38615832187
2021-03-26,99131.95096430636
2021-03-29,99313.75674853183
2021-03-30,98459.9375956998
2021-03-31,99952.00759920932
2021-04-01,101495.64717135287
2021-04-05,102465.42569575168
2021-04-06,102413.90173563815
2021-04-07,102174.52145800448
2021-04-08,103256.45367083407
2021-04-09,103947.5379661069
2021-04-12,103839.68057856418
2021-04-13,104667.58460078097
2021-04-14,103797.70436320163
2021-04-15,105546.10224757052
2021-04-16,106110.84477457858
2021-04-19,105552.01607737399
2021-04-20,105241.91504511691
2021-04-21,104765.33756861545
2021-04-22,104847.55542979098
2021-04-23,106176.72036967136
2021-04-26,106142.08918986178
2021-04-27,106026.82288584567
2021-04-28,105574.89951166965
2021-04-29,105749.29149088718
2021-04-30,105381.2846206174
2021-05-03,105483.45907435275
2021-05-04,103517.34211191989
2021-05-05,101537.55785975314
2021-05-06,102053.62045130588
2021-05-07,103679.37687907077
2021-05-10,101500.71227106906
2021-05-11,101198.29834208346
2021-05-12,98653.95237192966
2021-05-13,99800.40214496279
2021-05-14,101536.1320445447
2021-05-17,100481.67789720584
2021-05-18,100075.08777498294
2021-05-19,100486.21148942996
2021-05-20,102332.85762372256
2021-05-21,102190.00730099918
2021-05-24,103455.18259396793
2021-05-25,103516.23574795962
2021-05-26,103515.0199696088
2021-05-27,103280.60837140323
2021-05-28,103707.74982419254
2021-06-01,102660.38344540836
2021-06-02,102644.23694195987
2021-06-03,102065.28653302432
2021-06-04,103260.51339307071
2021-06-07,103610.86946072818
2021-06-08,103582.51136746646
2021-06-09,103710.15512433292
2021-06-10,104996.90032162906
2021-06-11,105289.04567494632
2021-06-14,106508.41708722354
2021-06-15,106039.67549863101
2021-06-16,105764.6133667493
2021-06-17,106988.84231915713
2021-06-18,106201.8118206525
2021-06-21,107208.34888043643
2021-06-22,108092.67166104556
2021-06-23,108072.43478741885
2021-06-24,108380.77807584048
2021-06-25,109411.93615880252
2021-06-28,110140.25298848392
2021-06-29,110529.78661504031
2021-06-30,110102.9114300275
2021-07-01,111019.3716026807
2021-07-02,111860.34343686343
2021-07-06,112622.60480084659
2021-07-07,113411.51604428531
2021-07-08,112659.41713490726
2021-07-09,113566.87574353458
2021-07-12,113107.27824177982
2021-07-13,113363.294595387
2021-07-14,113661.41162839175
2021-07-15,113208.26040997745
2021-07-16,113525.02136006595
2021-07-19,112866.06615796329
2021-07-20,113856.77243771793
2021-07-21,113693.70873990298
2021-07-22,114460.98530164004
2021-07-23,115645.65107693912
2021-07-26,115015.58536877872
2021-07-27,115023.12855687381
2021-07-28,115273.33069577457
2021-07-29,115892.54916348697
2021-07-30,114809.83013501407
2021-08-02,114650.77804150821
2021-08-03,115487.09954800845
2021-08-04,115353.51383557559
2021-08-05,116685.9284359479
2021-08-06,115005.81281056644
2021-08-09,114830.32769360782
2021-08-10,113559.05924954654
2021-08-11,113388.57244076968
2021-08-12,113537.1572376752
2021-08-13,113774.75523343326
2021-08-16,114066.86614957095
2021-08-17,114205.01715054752
2021-08-18,113504.89116254092
2021-08-19,114946.74207654239
2021-08-20,115431.77099194766
2021-08-23,115595.1382748151
2021-08-24,115949.41535916568
2021-08-25,116207.88251462222
2021-08-26,115995.09716382266
2021-08-27,116591.17254987003
2021-08-30,118068.4087673688
2021-08-31,117646.95256772281
2021-09-01,118406.29685940982
2021-09-02,119388.20042767764
2021-09-03,119718.82582822086
2021-09-07,119435.60819211246
2021-09-08,120134.69457020999
2021-09-09,118723.12604871036
2021-09-10,119149.51048436404
2021-09-13,117520.79795041324
2021-09-14,117380.26745381595
2021-09-15,117816.13124242068
2021-09-16,117961.901935246
2021-09-17,117089.0175301099
2021-09-20,116030.51055112125
2021-09-21,116419.81336941959
2021-09-22,118074.54313626529
2021-09-23,119638.34464612247
2021-09-24,119416.69344678165
2021-09-27,117118.19064679385
2021-09-28,114359.9269882703
2021-09-29,115001.08461346866
2021-09-30,114354.54096188785
2021-10-01,114945.22220006229
2021-10-04,113413.6673599744
2021-10-05,115160.60477605106
2021-10-06,115769.29273953677
2021-10-07,116617.1684032941
2021-10-08,116305.6928097272
2021-10-11,115602.84783520938
2021-10-12,115673.14978375674
2021-10-13,116469.53954282046
2021-10-14,118073.12393918277
2021-10-15,118126.9218899274
2021-10-18,118761.40251889468
2021-10-19,119216.77932706119
2021-10-20,118758.95087018253
2021-10-21,120294.24880185367
2021-10-22,121144.16754498721
2021-10-25,121331.38088574649
2021-10-26,121136.55991330386
2021-10-27,119484.89744534732
2021-10-28,121101.44286694766
2021-10-29,122450.03208890201
2021-11-01,122420.92182889224
2021-11-02,120336.66472592593
2021-11-03,121523.32527508975
2021-11-04,122074.3769756818
2021-11-05,121448.38251080753
2021-11-08,121351.3443218732
2021-11-09,121478.65935864688
2021-11-10,119932.58351102115
2021-11-11,119679.08444180728
2021-11-12,122021.39616742374
2021-11-15,121526.42555585147
2021-11-16,123189.4026371503
2021-11-17,123080.70993008853
2021-11-18,123379.88299527408
2021-11-19,124081.86438336612
2021-11-22,122000.90549435855
2021-11-23,121427.71965375186
2021-11-24,121588.79606213809
2021-11-26,119572.8189350629
2021-11-29,121756.82852521182
2021-11-30,118506.18967404605
2021-12-01,116338.26513638736
2021-12-02,117565.78731503726
2021-12-03,115538.08133282901
2021-12-06,116909.00888028384
2021-12-07,119845.19642224551
2021-12-08,121032.3275753522
2021-12-09,118884.59225430728
2021-12-10,119408.3528362775
2021-12-13,118634.90645566226
2021-12-14,117314.34144940616
2021-12-15,119551.62662854434
2021-12-16,118434.90285077335
2021-12-17,117523.67772259952
2021-12-20,116661.31248822452
2021-12-21,119171.80586209537
2021-12-22,120734.99879803897
2021-12-23,121579.28616299869
2021-12-27,122853.35789838077
2021-12-28,122652.62684979678
2021-12-29,123410.65782895328
