date,account_value
2021-07-01,100000.0
2021-07-02,101301.86356228638
2021-07-06,102621.34192532349
2021-07-07,103625.55390042115
2021-07-08,103084.5543887024
2021-07-09,103681.1725527649
2021-07-12,103020.83057278443
2021-07-13,103443.67151516724
2021-07-14,103092.54480618286
2021-07-15,102678.51242703247
2021-07-16,103589.79202908326
2021-07-19,103552.30985134888
2021-07-20,104267.19907254029
2021-07-21,104805.38602322388
2021-07-22,106555.51566189576
2021-07-23,108155.12210720826
2021-07-26,107410.8541933899
2021-07-27,107070.9194704895
2021-07-28,107943.18994778443
2021-07-29,108978.28455227661
2021-07-30,106738.04953640747
2021-08-02,106574.60675686646
2021-08-03,108462.1673952942
2021-08-04,109165.95279568482
2021-08-05,110035.29578274536
2021-08-06,107729.29297512818
2021-08-09,107924.53497952271
2021-08-10,106067.54520291138
2021-08-11,105598.73248928833
2021-08-12,106969.83334988404
2021-08-13,106892.1738039856
2021-08-16,107391.09741848755
2021-08-17,107137.47354763794
2021-08-18,106803.73902005005
2021-08-19,108045.44998806763
2021-08-20,108221.71964138794
2021-08-23,107640.76642483521
2021-08-24,107894.36740750122
2021-08-25,108399.807165802
2021-08-26,107877.01581448365
2021-08-27,108335.59406155396
2021-08-30,110180.64655178833
2021-08-31,108897.89499539185
2021-09-01,108996.46308010865
2021-09-02,109607.16666287232
2021-09-03,110147.29297512818
2021-09-07,109269.84793728638
2021-09-08,110396.43012112427
2021-09-09,109293.08530300904
2021-09-10,109768.49603909302
2021-09-13,106387.26013821411
2021-09-14,107807.27805203247
2021-09-15,108112.78381985474
2021-09-16,108351.65549343872
2021-09-17,107371.89307278443
2021-09-20,106630.6103274231
2021-09-21,107397.35651272583
2021-09-22,108408.57565945435
2021-09-23,110579.47858303833
2021-09-24,110324.00467556763
2021-09-27,106566.12131375122
2021-09-28,102642.70319241333
2021-09-29,103051.41681546021
2021-09-30,101745.71576565552
2021-10-01,102281.71964138794
2021-10-04,99945.3473574524
2021-10-05,100591.36017483521
2021-10-06,100922.04135769654
2021-10-07,101782.16470974732
2021-10-08,100699.45511502076
2021-10-11,99854.48566311646
2021-10-12,100287.25861233521
2021-10-13,101571.38141506958
2021-10-14,102875.08530300904
2021-10-15,104027.18463772583
2021-10-18,105241.9989992981
2021-10-19,106109.28211087036
2021-10-20,106064.98795193482
2021-10-21,106938.73810452271
2021-10-22,108502.70694607544
2021-10-25,109423.20529812622
2021-10-26,109811.80560940552
2021-10-27,108991.57913845826
2021-10-28,110409.4037234192
2021-10-29,112490.91419094849
2021-11-01,111277.85550564576
2021-11-02,108062.9934145813
2021-11-03,108225.38388699341
2021-11-04,109861.50311917115
2021-11-05,108843.79465359497
2021-11-08,108540.49939602661
2021-11-09,107869.66330593872
2021-11-10,106547.824743927
2021-11-11,106021.07309597779
2021-11-12,108795.84900540161
2021-11-15,107815.82214993286
2021-11-16,110665.40393704224
2021-11-17,109360.85092800904
2021-11-18,109508.92359036255
2021-11-19,115444.4079043274
2021-11-22,111956.1125552063
2021-11-23,111134.48227566529
2021-11-24,112355.29376858521
2021-11-26,109611.78449124146
2021-11-29,114006.2523562317
2021-11-30,108591.62988919068
2021-12-01,108561.28906887818
2021-12-02,109123.16001004029
2021-12-03,106122.82166165161
2021-12-06,106507.39951199341
2021-12-07,110472.57688015747
2021-12-08,111169.37283963013
2021-12-09,109521.01019924927
2021-12-10,110462.33496731568
2021-12-13,109537.7350527649
2021-12-14,106514.03818386841
2021-12-15,108620.6894289856
2021-12-16,107238.77207058716
2021-12-17,107175.58194607544
2021-12-20,104761.71527737427
2021-12-21,107956.41971463013
2021-12-22,110326.01566189576
2021-12-23,111120.87402981568
2021-12-27,113346.88605374146
2021-12-28,112773.12592190552
2021-12-29,113091.26792019654
2021-12-30,113313.18097561646
2021-12-31,113019.60147732544
2022-01-03,109422.44144314576
2022-01-04,105912.30588406372
2022-01-05,101919.80670803833
2022-01-06,100676.28543728638
2022-01-07,96743.50391262818
2022-01-10,97764.594275177
2022-01-11,98033.79456204224
2022-01-12,97882.14340847779
2022-01-13,94069.26004666138
2022-01-14,93411.39832180786
2022-01-18,91336.61163967896
2022-01-19,91980.75961941529
2022-01-20,91128.19480007935
2022-01-21,89036.63510769654
2022-01-24,90461.84674710083
2022-01-25,85748.36774319458
2022-01-26,83955.0581423645
2022-01-27,85114.24292630005
2022-01-28,88200.72046536255
2022-01-31,91516.77503079224
2022-02-01,92544.34125393677
2022-02-02,94726.28092068482
2022-02-03,93249.84503811646
2022-02-04,92605.20664089966
2022-02-07,91829.91184109497
2022-02-08,92866.99756497193
2022-02-09,95725.13144558716
2022-02-10,93566.24884671021
2022-02-11,90862.73145169068
2022-02-14,89417.81998318482
2022-02-15,89860.23779934693
2022-02-16,89602.92871731568
2022-02-17,85805.8558718567
2022-02-18,84322.14615505982
2022-02-22,84391.86328762818
2022-02-23,81804.24228543091
2022-02-24,87509.8334109192
2022-02-25,88070.56589382935
2022-02-28,88127.58170193482
2022-03-01,87980.51373928833
2022-03-02,89733.40292996216
2022-03-03,88618.84491604615
2022-03-04,87765.69055813599
2022-03-07,83891.62000149536
2022-03-08,83282.3681399231
2022-03-09,87152.83960598755
2022-03-10,85699.40540188599
2022-03-11,82104.95746487427
2022-03-14,79860.87317532349
2022-03-15,82623.59680813599
2022-03-16,85684.07227200318
2022-03-17,87531.98529690552
2022-03-18,89523.63217800904
2022-03-21,88257.21707791138
2022-03-22,90244.0873171692
2022-03-23,87532.15045803833
2022-03-24,88272.13779324341
2022-03-25,87669.64359158326
2022-03-28,89275.197790802
2022-03-29,90861.14612454224
2022-03-30,89567.0993105774
2022-03-31,90051.46375149536
2022-04-01,90923.35227078247
2022-04-04,91969.91516751099
2022-04-05,90964.43167752076
2022-04-06,89523.08231228638
2022-04-07,91510.26590603638
2022-04-08,90258.24307888794
2022-04-11,86304.08890408326
2022-04-12,83728.02445095826
2022-04-13,85511.64264553833
2022-04-14,83935.97351712036
2022-04-18,83224.79059475708
2022-04-19,85802.48541897583
2022-04-20,86835.30310696411
2022-04-21,83566.48856228638
2022-04-22,80043.99451321411
2022-04-25,80176.38968533326
2022-04-26,76639.46369046021
2022-04-27,75577.49701565552
2022-04-28,77617.64609402466
2022-04-29,73939.65869778443
2022-05-02,74735.91940945435
2022-05-03,75361.72504299927
2022-05-04,74152.42175930786
2022-05-05,68744.19885891724
2022-05-06,65880.48093289185
2022-05-09,61614.44837063599
2022-05-10,61437.362494171146
2022-05-11,59717.7990786438
2022-05-12,60959.71500271607
2022-05-13,63697.903967559825
2022-05-16,62613.84528225708
2022-05-17,64125.27881497193
2022-05-18,61859.20249050904
2022-05-19,63267.13230007935
2022-05-20,64407.806189239505
2022-05-23,64277.11908596802
2022-05-24,62758.18051785279
2022-05-25,65477.61728543091
2022-05-26,68497.25809353638
2022-05-27,71040.45468777466
2022-05-31,69754.76334255982
2022-06-01,67107.65198391724
2022-06-02,70135.34592312622
2022-06-03,67453.04193753052
2022-06-06,67423.61853665161
2022-06-07,68438.2897402649
2022-06-08,67794.24393338013
2022-06-09,65549.73676174927
2022-06-10,62750.94269436646
2022-06-13,60516.03461331177
2022-06-14,59866.887243927005
2022-06-15,61363.945044219974
2022-06-16,59328.87973660279
2022-06-17,60132.41943997193
2022-06-21,61103.929388702396
2022-06-22,61460.04617947388
2022-06-23,65167.831427276615
2022-06-24,66992.90424221802
2022-06-27,65806.2806765442
2022-06-28,63467.518255889896
2022-06-29,64624.28119534302
2022-06-30,63565.13223904419
2022-07-01,64552.8534914856
2022-07-05,66269.92612332154
2022-07-06,67451.84882229615
2022-07-07,68612.42194241333
2022-07-08,67962.83383816529
2022-07-11,66771.10297268677
2022-07-12,64832.29157131958
2022-07-13,64732.61127346802
2022-07-14,64758.292181671146
2022-07-15,66119.46362942505
2022-07-18,64813.11337918091
2022-07-19,67607.60233181763
2022-07-20,69490.23343533326
2022-07-21,71981.9642702942
2022-07-22,71498.08304470826
2022-07-25,69082.7434145813
2022-07-26,68352.402868927
2022-07-27,70637.02219265747
2022-07-28,73029.49228543091
2022-07-29,73647.67304104615
2022-08-01,72975.32263821411
2022-08-02,72940.19214505005
2022-08-03,75101.73230618286
