date,account_value
2022-06-01,100000.0
2022-06-02,103478.64614929773
2022-06-03,100745.98269333459
2022-06-06,100856.64645065881
2022-06-07,102360.29021515466
2022-06-08,100630.11824097253
2022-06-09,97164.7575193844
2022-06-10,93338.73214974023
2022-06-13,88468.75996651269
2022-06-14,88849.8747621975
2022-06-15,90475.05798782922
2022-06-16,84798.59487213708
2022-06-17,85722.21641220666
2022-06-21,87998.08212914086
2022-06-22,87614.36390938378
2022-06-23,89213.78880180932
2022-06-24,93659.4215113125
2022-06-27,92597.26193489648
2022-06-28,89808.5737883053
2022-06-29,88862.69023384668
2022-06-30,88468.52759422876
2022-07-01,85587.76640190698
2022-07-05,85732.32430710412
2022-07-06,86539.11104263879
2022-07-07,89477.77055039025
2022-07-08,89284.72430290795
2022-07-11,87622.47733940698
2022-07-12,86525.50883545495
2022-07-13,86900.92836441613
2022-07-14,87503.46979584314
2022-07-15,89618.6456190548
2022-07-18,88615.44744362451
2022-07-19,92637.2475344143
2022-07-20,95851.0575987301
2022-07-21,98251.31896652795
2022-07-22,96991.53689255334
2022-07-25,95672.53783859828
2022-07-26,93587.59317650415
2022-07-27,97575.2752348385
2022-07-28,100886.97478546716
2022-07-29,103328.48131241418
2022-08-01,102925.95921005822
2022-08-02,102817.33260788537
2022-08-03,107108.05637039758
2022-08-04,107846.95734085656
2022-08-05,106689.66007294274
2022-08-08,105412.768108984
2022-08-09,100811.65533890344
2022-08-10,105034.2936407528
2022-08-11,105361.37987579919
2022-08-12,108513.14457382775
2022-08-15,108734.19840683557
2022-08-16,107966.4415365658
2022-08-17,105593.98011078456
2022-08-18,106241.15477432824
2022-08-19,102235.53609909631
2022-08-22,98435.69815506555
2022-08-23,99387.914883276
2022-08-24,100632.11529221154
2022-08-25,102426.12635101892
2022-08-26,97871.52071442224
2022-08-29,95937.94420303918
2022-08-30,95386.35581841088
2022-08-31,94760.66219963647
2022-09-01,93719.72334351159
2022-09-02,92924.79683937646
2022-09-06,92395.84033073999
2022-09-07,94720.72795166589
2022-09-08,95789.23974289514
2022-09-09,98054.48214783288
2022-09-12,98256.19421066857
2022-09-13,92842.2317720852
2022-09-14,93942.06127228356
2022-09-15,91540.40000786401
2022-09-16,91356.20057930566
2022-09-19,91598.33075966455
2022-09-20,90253.141237875
2022-09-21,88828.78970398523
2022-09-22,86468.99836411096
2022-09-23,85402.37025894738
2022-09-26,84413.3994070492
