date,account_value
2021-01-04,100000.0
2021-01-05,100489.2962922707
2021-01-06,99920.47995713189
2021-01-07,101608.46728804543
2021-01-08,102327.47194436028
2021-01-11,100919.41878178551
2021-01-12,100660.06728556588
2021-01-13,100373.54544928505
2021-01-14,99833.30952647164
2021-01-15,99169.96575119927
2021-01-19,99986.79061558678
2021-01-20,102149.85112479165
2021-01-21,101977.30540469124
2021-01-22,101409.74449732735
2021-01-25,101917.73835995629
2021-01-26,101811.01318409875
2021-01-27,98434.73153927758
2021-01-28,100340.15591767266
2021-01-29,98405.48862221673
2021-02-01,100466.46449616387
2021-02-02,102736.31457570031
2021-02-03,103489.45822718575
2021-02-04,104400.20240166619
2021-02-05,104954.02234509423
2021-02-08,105614.32070591881
2021-02-09,105339.64834597542
2021-02-10,105201.69162133172
2021-02-11,106095.93695166543
2021-02-12,106501.78116181328
2021-02-16,106806.56151202157
2021-02-17,105648.56352999642
2021-02-18,105666.24202874138
2021-02-19,105096.92749407723
2021-02-22,103564.09306862786
2021-02-23,103780.21980431511
2021-02-24,105810.54238703682
2021-02-25,102140.10301020577
2021-02-26,102116.99775412514
2021-03-01,104437.1997657104
2021-03-02,103449.3046803756
2021-03-03,100545.2701425834
2021-03-04,98973.17287066414
2021-03-05,100927.23017981484
2021-03-08,99001.85081770852
2021-03-09,101949.61962798073
2021-03-10,101726.30447771981
2021-03-11,103811.54923012688
2021-03-12,103133.62196066811
2021-03-15,104218.3793392463
2021-03-16,104379.71784546807
2021-03-17,104532.62068655922
2021-03-18,102609.55220272973
2021-03-19,102643.81721070244
2021-03-22,103710.5627713485
2021-03-23,103555.8531055732
2021-03-24,103251.24372771218
2021-03-25,103666.6347751899
2021-03-26,106430.8338308616
2021-03-29,106299.69584086373
2021-03-30,105973.44815257027
2021-03-31,107200.4220347686
2021-04-01,109035.86536934807
2021-04-05,111385.97235110238
2021-04-06,110882.39232256844
2021-04-07,111128.11418488457
2021-04-08,112267.51222279503
2021-04-09,113294.66705611184
2021-04-12,113069.35907223656
2021-04-13,113676.68284562066
2021-04-14,113247.51458886101
2021-04-15,114995.30151560738
2021-04-16,115376.28158238366
2021-04-19,114164.0761237426
2021-04-20,113354.37545063927
2021-04-21,114229.44653895333
2021-04-22,113132.29047015145
2021-04-23,114236.81206753686
2021-04-26,114113.52022459939
2021-04-27,114122.41486790612
2021-04-28,114569.01894333794
2021-04-29,115560.4802871032
2021-04-30,114245.41088726952
2021-05-03,113941.80487063363
2021-05-04,112725.80698588326
2021-05-05,112225.31078818276
2021-05-06,112775.47526505425
2021-05-07,113695.15587809517
2021-05-10,111925.24038174584
2021-05-11,111479.42460444405
2021-05-12,107683.91475108101
2021-05-13,109097.8548789306
2021-05-14,111831.98583605721
2021-05-17,111145.19722559884
2021-05-18,109926.76570322945
2021-05-19,110268.46663334801
2021-05-20,111957.7367663665
2021-05-21,111700.542096643
2021-05-24,113689.20293667748
2021-05-25,114283.83227112725
2021-05-26,114850.60783245995
2021-05-27,114482.76799920037
2021-05-28,115071.03958752587
2021-06-01,114368.86728718712
2021-06-02,114003.11619523003
2021-06-03,113202.99075320199
2021-06-04,114872.0505867286
2021-06-07,115049.7227993293
2021-06-08,115344.24645569756
2021-06-09,115613.86286642983
2021-06-10,117411.38006403878
2021-06-11,117877.31357958748
2021-06-14,119150.56262639
2021-06-15,118272.12882903054
2021-06-16,117345.8541641517
2021-06-17,117993.26536753609
2021-06-18,117450.6504988952
2021-06-21,118802.77230265572
2021-06-22,119483.39694598153
2021-06-23,119336.05518391564
2021-06-24,120552.97460701897
2021-06-25,120821.59129240944
2021-06-28,121671.04661419823
