date,account_value
2022-06-01,100000.0
2022-06-02,104930.29176868057
2022-06-03,101508.39253693009
2022-06-06,102033.66917305374
2022-06-07,103754.21922951126
2022-06-08,103767.71057587051
2022-06-09,98629.7935321846
2022-06-10,94051.06732063675
2022-06-13,89429.03114967728
2022-06-14,88796.77594833756
2022-06-15,92062.95674209976
2022-06-16,88190.35242729569
2022-06-17,90295.48931389237
2022-06-21,92434.97815781021
2022-06-22,93458.97381287003
2022-06-23,97234.0140903511
2022-06-24,99925.86160164261
2022-06-27,98833.36060600662
2022-06-28,94095.01679687882
2022-06-29,95313.81833725357
2022-06-30,93347.81914978409
2022-07-01,96003.90818100357
2022-07-05,99545.48721962357
2022-07-06,100450.85663490677
2022-07-07,102089.81588821793
2022-07-08,101245.12803154373
2022-07-11,97804.96665459061
2022-07-12,96831.76696281815
2022-07-13,96906.85586624527
2022-07-14,97236.64652901077
2022-07-15,99366.82609634781
2022-07-18,98008.10654526138
2022-07-19,101834.90400009537
2022-07-20,103660.21349220657
2022-07-21,106126.23377113724
2022-07-22,103684.43421249771
2022-07-25,102054.8864467659
2022-07-26,100993.9446208992
2022-07-27,105064.11242370987
2022-07-28,107141.32222061539
2022-07-29,107797.52139549637
2022-08-01,107018.60955315018
2022-08-02,107966.76100235368
2022-08-03,111468.53078537369
2022-08-04,118010.89593201065
2022-08-05,117433.18047790909
2022-08-08,117073.34837227249
2022-08-09,113909.49860077286
2022-08-10,118553.59790115738
2022-08-11,116459.49701195145
2022-08-12,118921.72611885454
2022-08-15,118758.03129463577
2022-08-16,116406.3274295845
2022-08-17,112838.56106453323
2022-08-18,111867.07933121109
2022-08-19,108490.56732445145
2022-08-22,104815.87851791763
2022-08-23,104621.64813118363
2022-08-24,105399.64727096939
2022-08-25,107776.42762642288
2022-08-26,102981.737232975
2022-08-29,102574.56631546402
2022-08-30,101863.7772052803
2022-08-31,101405.22814255142
2022-09-01,102246.29623871231
2022-09-02,101061.17588692093
2022-09-06,100819.20925217056
2022-09-07,104221.1474674263
2022-09-08,107605.35824852371
2022-09-09,111145.89833717728
2022-09-12,112978.86892013931
2022-09-13,106486.84919433975
2022-09-14,107177.00957947159
2022-09-15,107452.49991493607
2022-09-16,104818.70693855667
2022-09-19,105307.18817406082
2022-09-20,103407.398094944
2022-09-21,101602.67942123795
2022-09-22,99313.96642380142
2022-09-23,98326.51976662064
2022-09-26,97223.19982414627
